province,city,longitude,latitude
广西壮族自治区,防城港市,108.35472,21.68713
广西壮族自治区,钦州市,108.65431,21.9797
广西壮族自治区,贵港市,109.59764,23.11306
广西壮族自治区,玉林市,110.18098,22.65451
广西壮族自治区,百色市,106.61838,23.90216
广西壮族自治区,贺州市,111.56655,24.40346
广西壮族自治区,河池市,108.0854,24.69291
广西壮族自治区,来宾市,109.22238,23.7521
广西壮族自治区,崇左市,107.36485,22.37895
内蒙古自治区,呼和浩特市,111.75199,40.84149
内蒙古自治区,包头市,109.84021,40.65781
内蒙古自治区,乌海市,106.79546,39.65384
内蒙古自治区,赤峰市,118.88894,42.2586
内蒙古自治区,通辽市,122.24469,43.65247
内蒙古自治区,鄂尔多斯市,109.78087,39.60845
内蒙古自治区,呼伦贝尔市,119.76584,49.21163
内蒙古自治区,巴彦淖尔市,107.38773,40.74317
内蒙古自治区,乌兰察布市,113.13376,40.99391
内蒙古自治区,兴安盟,122.03818,46.08208
内蒙古自治区,锡林郭勒盟,116.04775,43.9332
内蒙古自治区,阿拉善盟,105.72898,38.85153
宁夏回族自治区,银川市,106.23248,38.48644
宁夏回族自治区,石嘴山市,106.38418,38.9841
宁夏回族自治区,吴忠市,106.19879,37.99755
宁夏回族自治区,固原市,106.24259,36.0158
宁夏回族自治区,中卫市,105.19676,37.50026
西藏自治区,拉萨市,91.1145,29.64415
西藏自治区,日喀则市,88.88116,29.26705
西藏自治区,昌都市,97.17225,31.14073
西藏自治区,林芝市,94.36155,29.64895
西藏自治区,山南市,91.77313,29.23705
西藏自治区,那曲市,92.05136,31.47614
西藏自治区,阿里地区,81.1454,30.40051
新疆维吾尔自治区,乌鲁木齐市,87.61688,43.82663
新疆维吾尔自治区,克拉玛依市,84.88927,45.57999
新疆维吾尔自治区,吐鲁番市,89.18954,42.9513
新疆维吾尔自治区,哈密市,93.51538,42.81855
新疆维吾尔自治区,昌吉回族自治州,87.30822,44.01117
新疆维吾尔自治区,博尔塔拉蒙古自治州,82.06665,44.90597
新疆维吾尔自治区,巴音郭楞蒙古自治州,86.14517,41.76404
新疆维吾尔自治区,阿克苏地区,80.26008,41.16842
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,76.16661,39.7153
新疆维吾尔自治区,喀什地区,75.98976,39.47042
新疆维吾尔自治区,和田地区,79.92247,37.11431
新疆维吾尔自治区,伊犁哈萨克自治州,81.32416,43.91689
新疆维吾尔自治区,塔城地区,82.98046,46.74532
新疆维吾尔自治区,阿勒泰地区,88.14023,47.84564
